Number_of_People,Counters_Open,Avg_Service_Time,Time_of_Day,Queue_Type,Waiting_Time
237,13,7,18,Hospital,149.12
184,14,10,23,Office,139.96
117,8,14,3,Bank,217.92
56,12,12,2,Hospital,77.33
272,7,17,19,Office,679.92
299,7,17,5,Bank,744.61
117,6,3,22,Hospital,76.47
105,5,11,6,Office,239.84
117,10,13,13,Bank,167.89
85,8,9,11,Hospital,121.24
191,5,12,15,Office,474.11
117,9,11,19,Hospital,178.24
6,9,14,7,Hospital,26.27
134,1,18,22,Hospital,2425.7
224,6,8,1,Bank,311.59
58,7,4,12,Office,43.42
228,3,14,7,Hospital,1087.47
229,7,8,20,Hospital,275.88
130,11,10,19,Hospital,135.38
134,11,14,15,Bank,193.78
57,7,9,3,Hospital,90.45
176,14,19,15,Bank,243.27
222,13,3,19,Bank,69.43
164,11,19,5,Hospital,295.92
202,2,19,3,Hospital,1934.15
251,7,12,15,Bank,444.32
207,1,2,22,Bank,430.57
188,5,15,22,Hospital,592.54
127,9,17,20,Bank,244.66
259,7,12,12,Bank,458.17
298,7,2,4,Hospital,101.88
284,11,8,14,Hospital,222.31
102,13,17,7,Office,156.81
202,12,15,6,Hospital,268.65
244,2,16,13,Hospital,1973.95
148,8,15,6,Hospital,298.59
101,3,12,21,Office,411.5
205,8,17,6,Bank,452.39
128,3,18,22,Hospital,791.92
191,10,7,17,Hospital,139.8
263,7,12,9,Office,467.8
152,2,18,17,Office,1377.59
256,4,10,13,Office,662.68
151,11,19,9,Bank,260.7
152,6,18,6,Office,468.5
203,11,13,6,Bank,252.44
132,9,6,6,Hospital,108.38
43,5,12,4,Hospital,128.54
133,13,5,0,Hospital,60.52
271,9,5,13,Office,177.12
155,5,4,17,Hospital,147.68
103,10,18,12,Office,209.92
267,8,8,7,Bank,283.12
256,13,5,7,Hospital,118.38
148,13,14,9,Bank,160.4
116,1,13,16,Office,1519.06
64,7,2,5,Office,44.41
6,4,19,14,Hospital,58.2
258,5,12,14,Hospital,634.86
144,6,4,15,Office,91.27
41,5,18,7,Hospital,166.11
164,12,13,18,Hospital,195.65
13,1,11,19,Bank,151.25
237,12,9,14,Office,196.45
103,9,16,2,Bank,199.24
151,2,6,5,Hospital,479.93
212,9,5,7,Bank,130.9
135,10,5,15,Office,69.89
156,2,16,14,Bank,1255.61
58,9,18,12,Bank,142.13
124,6,13,19,Hospital,291.29
165,11,4,14,Office,77.57
120,9,11,17,Hospital,169.18
79,13,16,12,Hospital,120.14
117,6,11,23,Office,212.82
108,6,19,7,Bank,350.32
258,13,2,13,Hospital,59.43
231,11,4,10,Bank,102.97
116,14,13,5,Office,123.05
103,2,2,23,Hospital,111.47
157,8,4,0,Bank,91.51
198,3,4,1,Bank,268.37
167,7,6,12,Hospital,154.63
212,5,2,0,Office,93.96
173,3,5,23,Bank,302.13
165,1,5,23,Office,848.81
72,8,18,3,Hospital,185.38
293,3,15,23,Bank,1479.42
281,2,19,22,Bank,2682.81
139,1,2,1,Bank,288.71
199,4,17,20,Office,865.63
132,13,4,19,Bank,33.68
37,8,10,15,Bank,57.03
180,13,5,2,Hospital,81.92
26,3,6,16,Bank,70.14
242,14,12,4,Office,221.4
162,1,10,7,Hospital,1640.22
42,4,4,11,Hospital,51.46
234,9,7,22,Bank,199.12
55,13,12,11,Hospital,75.16
268,1,10,0,Bank,2693.9
287,12,16,0,Hospital,396.98
31,14,4,14,Office,18.44
230,11,2,16,Bank,53.38
281,2,15,1,Office,2117.64
290,9,18,16,Bank,593.04
101,2,15,19,Office,757.37
288,13,18,8,Office,410.36
151,3,15,11,Hospital,787.58
8,7,13,3,Bank,27.93
39,3,17,12,Hospital,242.17
196,9,2,3,Office,72.45
53,6,14,6,Bank,117.31
21,3,7,13,Office,58.29
176,9,18,8,Office,364.19
224,1,13,22,Office,2933.01
162,10,7,0,Office,134.53
50,3,8,0,Hospital,147.27
10,1,2,19,Office,41.99
103,2,2,3,Hospital,120.18
237,12,6,0,Office,141.98
41,8,7,21,Bank,38.65
284,7,17,9,Office,703.85
185,2,17,1,Office,1584.07
99,2,15,20,Bank,759.89
103,9,2,23,Bank,29.23
192,13,14,14,Office,221.47
120,13,11,2,Office,120.09
195,6,11,22,Hospital,381.32
257,5,10,8,Bank,530.21
165,10,14,16,Bank,242.48
260,6,4,20,Hospital,190.41
132,9,19,12,Office,291.22
22,11,3,2,Office,21.18
285,7,18,3,Bank,744.6
227,10,14,3,Hospital,336.77
58,10,14,10,Office,96.33
62,14,2,6,Bank,8.24
178,9,3,10,Office,79.0
284,4,2,23,Office,158.27
118,2,6,10,Office,376.01
292,12,4,9,Bank,107.33
155,8,8,4,Hospital,162.83
131,4,14,12,Hospital,475.99
159,13,19,11,Office,245.99
277,9,8,9,Hospital,271.42
108,4,2,6,Office,54.51
250,8,6,18,Bank,197.79
180,9,18,18,Bank,373.6
43,13,9,18,Bank,35.14
174,9,16,11,Office,324.86
251,10,5,19,Hospital,141.11
30,4,3,21,Bank,27.39
17,1,6,14,Office,114.14
40,3,2,4,Hospital,41.69
177,9,6,23,Hospital,142.79
24,4,7,13,Hospital,56.86
268,5,3,11,Office,169.48
146,7,2,20,Office,69.09
147,5,5,10,Office,168.73
96,4,8,4,Bank,188.97
292,2,2,15,Office,301.65
219,2,2,17,Bank,230.7
55,13,9,11,Bank,50.34
157,13,17,4,Bank,204.87
190,4,14,15,Office,688.11
67,10,19,11,Bank,143.08
194,13,11,22,Office,182.53
129,10,13,1,Office,192.2
154,13,2,5,Bank,36.86
62,9,11,22,Bank,88.92
184,8,10,20,Bank,250.9
174,3,4,3,Office,254.71
275,14,10,12,Office,205.54
58,9,11,9,Bank,85.32
105,14,17,16,Bank,132.85
268,5,19,13,Hospital,1041.93
57,11,15,23,Bank,91.06
64,3,4,14,Hospital,95.65
112,5,3,7,Hospital,86.35
9,13,2,22,Office,18.24
107,10,19,23,Office,215.25
200,13,10,17,Hospital,176.05
266,4,14,2,Hospital,956.64
51,8,3,16,Bank,28.91
148,13,8,23,Hospital,112.65
273,12,17,23,Bank,406.43
128,5,16,6,Office,427.91
110,10,12,12,Bank,143.41
162,12,2,15,Office,35.29
151,8,8,4,Hospital,175.7
149,9,9,3,Hospital,171.31
124,4,11,9,Hospital,369.99
279,7,6,12,Bank,249.47
96,2,10,9,Office,482.29
62,6,2,13,Office,23.77
233,8,3,21,Office,107.52
121,12,15,11,Office,162.26
283,7,11,0,Office,462.77
131,7,10,20,Bank,197.94
133,8,11,19,Office,196.71
62,7,7,19,Hospital,81.33
126,5,18,6,Office,462.54
5,7,7,8,Hospital,24.89
243,13,5,7,Bank,99.37
294,14,4,12,Bank,91.39
100,10,19,13,Hospital,207.73
130,3,5,11,Office,230.08
122,5,9,7,Bank,236.06
52,7,18,20,Bank,142.81
93,9,6,21,Bank,79.17
241,2,14,17,Office,1712.76
276,4,2,15,Hospital,163.98
193,12,14,10,Hospital,248.91
196,7,5,15,Office,157.29
73,1,15,13,Bank,1111.06
282,13,4,2,Office,102.39
251,2,6,20,Office,774.89
80,9,8,1,Hospital,95.41
158,13,2,2,Office,36.79
148,10,13,3,Office,213.67
90,7,12,21,Bank,164.93
189,12,9,4,Bank,151.01
289,10,7,9,Hospital,218.97
224,7,3,19,Bank,107.16
73,6,15,1,Office,204.48
51,3,2,11,Office,55.22
98,10,11,4,Office,125.27
242,3,17,4,Hospital,1395.53
208,2,5,22,Bank,538.9
222,11,12,0,Office,256.13
43,6,17,3,Bank,124.03
104,4,2,20,Bank,71.11
293,5,17,23,Bank,1002.49
258,3,10,11,Bank,865.17
226,6,10,11,Hospital,384.09
27,11,10,15,Hospital,48.54
254,12,18,23,Hospital,389.65
14,3,13,16,Office,70.41
250,14,14,20,Office,269.12
104,14,9,9,Office,86.91
294,8,17,16,Hospital,640.19
184,9,19,16,Bank,397.51
227,4,2,17,Hospital,127.39
254,9,2,1,Office,67.61
151,12,13,3,Office,180.45
100,7,7,18,Bank,106.49
261,3,10,10,Hospital,888.29
8,7,6,16,Bank,6.6
20,14,17,11,Hospital,52.22
284,1,19,1,Office,5414.57
251,3,18,5,Bank,1521.55
262,6,19,8,Bank,848.7
164,4,2,4,Hospital,96.22
156,7,9,19,Hospital,218.06
182,14,4,20,Hospital,58.74
167,3,6,8,Office,370.98
37,1,9,22,Hospital,351.95
183,9,19,7,Office,408.6
105,6,19,19,Hospital,343.83
272,8,2,7,Hospital,94.97
69,3,16,21,Office,396.0
172,8,19,20,Hospital,428.08
47,2,8,22,Office,195.92
48,12,17,5,Office,82.03
289,4,17,2,Hospital,1232.66
16,3,16,4,Hospital,105.07
99,10,7,8,Bank,85.05
257,1,10,6,Hospital,2589.75
246,13,8,3,Bank,159.4
39,13,15,6,Hospital,68.69
219,7,12,4,Office,394.66
94,11,17,10,Office,148.65
268,10,7,14,Bank,198.22
97,2,17,1,Hospital,861.55
94,4,17,12,Bank,400.15
119,9,13,21,Hospital,191.29
109,6,18,15,Hospital,360.59
200,8,6,6,Office,172.73
118,2,14,7,Bank,832.41
79,7,9,5,Office,118.01
221,6,6,23,Office,235.99
281,13,13,6,Office,290.76
253,14,10,17,Bank,190.19
168,9,4,21,Hospital,92.71
196,7,4,21,Hospital,132.79
231,1,2,19,Bank,466.76
181,14,19,6,Hospital,256.71
103,8,13,2,Bank,177.09
40,11,10,4,Bank,58.37
100,10,10,0,Hospital,120.58
156,3,19,14,Office,1000.68
155,14,19,2,Bank,225.64
194,2,8,7,Bank,784.89
228,12,5,8,Bank,118.08
41,3,14,14,Bank,201.31
272,11,18,9,Hospital,469.99
187,6,3,1,Hospital,108.22
17,13,15,19,Bank,33.14
283,14,4,4,Office,97.78
221,3,6,18,Hospital,461.6
290,10,15,12,Office,446.49
277,5,4,10,Office,232.13
66,6,8,0,Bank,99.98
88,8,19,21,Hospital,233.4
221,7,14,14,Bank,451.11
191,14,11,17,Bank,162.08
23,11,14,15,Office,44.01
181,8,17,8,Office,400.31
104,3,10,0,Office,360.26
237,4,3,10,Bank,187.88
80,6,6,8,Bank,108.89
269,11,18,22,Bank,452.36
288,7,5,10,Bank,220.23
210,9,18,12,Bank,433.07
227,13,10,1,Bank,182.78
56,1,3,13,Bank,187.06
148,13,19,5,Bank,224.27
73,8,12,7,Hospital,136.89
103,8,14,17,Hospital,197.91
29,6,9,15,Hospital,56.78
57,4,2,20,Hospital,51.06
155,3,18,11,Bank,932.27
148,11,13,10,Bank,188.66
61,3,5,5,Office,108.31
43,6,14,2,Office,113.1
113,13,10,13,Hospital,96.9
185,8,8,1,Office,219.77
46,7,6,10,Hospital,47.85
190,11,6,21,Bank,113.71
227,1,18,2,Bank,4104.0
126,11,10,17,Office,136.8
137,6,7,0,Bank,175.79
167,7,17,23,Bank,413.35
219,12,3,0,Hospital,84.21
225,7,11,11,Office,374.97
239,9,17,14,Bank,462.93
150,11,6,4,Office,98.5
243,11,16,5,Bank,361.33
80,10,14,15,Hospital,125.63
13,5,14,11,Bank,55.06
78,1,14,11,Office,1116.19
257,2,16,2,Office,2064.81
234,4,15,22,Hospital,896.42
11,5,9,1,Bank,28.8
178,9,12,6,Hospital,257.1
145,11,19,1,Office,265.9
172,1,5,20,Hospital,886.63
174,3,11,6,Bank,642.77
287,5,2,10,Bank,118.88
126,3,6,10,Hospital,280.66
198,4,14,13,Office,704.76
9,14,2,2,Office,7.44
33,3,9,13,Hospital,115.6
169,4,4,10,Bank,176.69
140,14,4,3,Bank,60.88
149,13,8,16,Bank,108.17
221,13,5,15,Bank,103.03
136,1,4,2,Office,564.74
296,12,16,9,Bank,411.29
74,8,9,20,Hospital,98.43
256,4,4,14,Hospital,274.61
279,7,8,7,Hospital,331.93
186,2,19,17,Hospital,1785.53
171,2,12,2,Bank,1040.79
95,6,12,6,Office,205.94
206,14,18,9,Bank,284.04
23,2,7,19,Office,87.51
43,6,9,8,Bank,78.0
130,11,2,13,Office,29.9
177,2,11,22,Hospital,994.16
145,4,4,13,Hospital,170.18
246,7,5,10,Office,189.21
224,8,12,0,Office,354.86
130,3,16,3,Office,701.62
62,14,2,5,Hospital,17.21
152,13,10,21,Hospital,140.82
5,9,12,21,Bank,28.87
194,2,14,4,Office,1366.03
195,8,17,2,Office,437.93
121,8,5,1,Office,90.93
138,13,2,2,Hospital,31.88
62,14,14,8,Office,69.08
48,4,2,18,Office,39.11
177,1,6,18,Hospital,1079.17
164,13,6,16,Office,81.5
177,1,15,17,Bank,2653.14
153,2,15,10,Hospital,1161.57
84,14,9,11,Hospital,75.36
217,12,5,2,Hospital,110.37
207,14,8,17,Bank,124.78
256,9,16,23,Hospital,476.52
233,13,5,5,Hospital,116.9
168,2,10,6,Hospital,862.76
231,2,14,0,Hospital,1636.15
151,6,15,5,Bank,394.0
24,7,15,17,Office,59.71
51,13,11,12,Office,56.58
237,7,17,21,Hospital,594.16
18,13,6,18,Bank,9.65
147,9,7,6,Hospital,131.39
5,6,3,18,Office,2.98
58,14,14,8,Office,86.39
263,8,14,2,Bank,463.69
148,11,19,22,Office,281.74
16,6,2,11,Hospital,25.6
228,2,9,19,Bank,1039.95
276,1,17,23,Office,4703.58
160,5,3,17,Hospital,117.46
12,14,9,7,Bank,22.27
126,9,7,8,Hospital,122.65
168,8,17,12,Office,377.42
94,14,12,7,Hospital,97.99
140,13,18,21,Bank,200.48
190,4,12,9,Hospital,578.84
182,5,9,16,Office,346.26
32,13,5,6,Bank,29.88
224,5,12,16,Bank,558.91
45,6,9,22,Office,84.64
232,3,10,17,Hospital,787.97
196,5,3,23,Hospital,125.72
149,2,17,1,Office,1288.79
205,10,7,2,Bank,140.93
216,1,9,18,Office,1956.62
224,11,15,0,Bank,313.88
244,1,17,20,Bank,4157.51
50,10,13,20,Hospital,85.25
39,7,6,9,Office,49.4
257,2,19,20,Bank,2434.59
86,4,10,13,Hospital,235.1
260,5,3,12,Office,155.39
201,7,13,8,Office,393.41
14,2,3,5,Bank,27.11
290,14,11,5,Bank,222.76
246,6,2,18,Bank,86.3
255,1,5,20,Office,1286.01
9,7,13,9,Bank,35.05
123,9,10,22,Office,153.04
293,5,5,2,Hospital,315.41
69,5,10,17,Office,161.27
150,4,7,20,Bank,271.83
228,3,2,18,Office,172.28
243,9,11,4,Bank,311.79
181,5,15,10,Hospital,553.99
271,8,19,9,Bank,663.94
286,9,7,16,Bank,222.5
67,5,19,3,Bank,271.02
221,10,17,20,Bank,375.08
287,9,16,17,Bank,524.43
181,2,17,17,Bank,1561.53
102,9,9,0,Hospital,120.51
109,11,14,13,Hospital,156.93
103,4,12,7,Office,328.27
10,6,8,1,Bank,21.03
201,6,18,18,Office,630.73
137,6,19,14,Hospital,455.18
263,2,14,1,Hospital,1858.76
27,7,16,3,Bank,67.93
57,13,2,0,Bank,12.24
169,6,17,18,Office,489.44
206,11,6,20,Hospital,129.91
87,14,4,9,Office,36.44
149,1,11,0,Office,1649.39
89,2,6,19,Office,296.69
82,7,8,21,Bank,96.5
5,1,15,14,Hospital,96.03
55,1,4,3,Office,239.15
177,1,14,6,Hospital,2502.41
209,8,14,6,Hospital,385.34
264,4,11,21,Office,739.32
292,4,3,17,Office,237.16
38,13,7,12,Bank,32.33
99,2,9,9,Hospital,463.69
76,11,5,23,Office,38.61
43,11,13,7,Office,62.54
158,11,16,9,Hospital,241.79
254,1,9,13,Office,2296.33
166,12,8,13,Hospital,130.9
122,10,15,19,Office,200.51
263,9,15,21,Hospital,470.8
272,7,14,10,Office,555.24
58,4,2,5,Office,49.42
240,12,2,20,Bank,52.14
226,6,5,0,Hospital,217.41
255,14,11,18,Bank,214.39
116,2,4,6,Office,239.94
259,7,10,23,Hospital,377.94
211,2,4,17,Hospital,444.18
233,10,7,2,Office,174.4
70,8,7,19,Office,69.39
79,8,13,10,Office,134.5
107,1,2,4,Office,230.13
196,13,17,18,Hospital,286.86
256,8,6,20,Bank,199.14
230,2,10,23,Hospital,1174.13
298,6,11,23,Hospital,565.62
102,13,14,1,Hospital,120.82
290,1,16,21,Hospital,4665.14
253,5,13,3,Office,665.14
170,11,6,9,Bank,102.88
34,7,6,1,Hospital,46.75
251,13,19,7,Hospital,393.1
110,10,13,0,Bank,145.59
55,1,4,5,Office,237.74
85,2,8,10,Hospital,354.12
137,7,18,9,Office,363.71
289,6,19,12,Hospital,909.72
142,3,2,0,Hospital,129.31
188,14,6,1,Bank,94.43
277,10,3,2,Bank,87.73
73,2,2,8,Office,80.13
38,10,8,4,Hospital,46.93
266,4,12,9,Office,818.02
57,3,12,9,Bank,224.76
209,7,19,11,Bank,576.29
130,8,18,17,Bank,314.89
239,2,3,20,Bank,360.56
47,10,8,20,Bank,48.16
244,7,8,0,Office,309.28
115,8,11,2,Office,177.55
253,6,4,4,Bank,179.55
155,6,13,16,Hospital,359.38
187,10,4,7,Hospital,91.99
99,1,12,16,Hospital,1217.1
12,4,13,8,Hospital,56.2
188,14,5,5,Hospital,73.43
285,1,17,16,Bank,4852.26
199,4,19,7,Office,953.48
199,2,5,20,Bank,505.53
159,11,7,6,Hospital,119.37
97,13,16,6,Hospital,147.77
164,5,2,14,Office,85.47
65,10,4,6,Bank,37.84
126,14,6,21,Office,68.98
55,9,18,7,Hospital,122.59
281,11,15,8,Hospital,387.91
9,12,10,14,Office,23.29
96,10,4,1,Hospital,63.96
174,3,14,6,Bank,821.24
26,8,4,14,Hospital,29.26
5,3,12,17,Hospital,43.25
137,6,3,21,Bank,77.92
237,4,16,17,Hospital,979.8
16,8,14,9,Office,51.63
50,11,17,21,Office,98.99
38,6,19,17,Hospital,145.64
82,8,8,0,Bank,82.97
222,1,14,6,Bank,3122.64
77,6,5,2,Office,81.8
286,1,10,13,Hospital,2884.24
253,1,11,11,Bank,2796.45
51,8,10,13,Bank,76.92
125,7,8,3,Office,176.76
218,3,16,12,Office,1177.13
243,6,9,15,Bank,381.05
60,9,12,15,Office,91.7
111,7,6,21,Bank,110.68
52,12,3,4,Hospital,39.58
65,3,11,19,Office,255.88
30,14,17,5,Office,63.11
296,14,14,5,Hospital,309.81
261,13,9,17,Bank,187.28
12,6,10,5,Bank,31.49
117,11,12,6,Office,148.8
257,4,12,23,Bank,782.26
184,14,17,23,Bank,242.43
211,13,11,15,Hospital,193.91
131,3,13,8,Hospital,579.68
60,9,7,12,Hospital,68.82
218,10,13,11,Office,297.86
18,2,11,18,Hospital,122.8
32,1,19,22,Hospital,627.81
82,14,19,22,Bank,118.91
220,2,5,0,Hospital,569.48
158,7,10,7,Office,240.92
18,10,8,3,Hospital,32.27
191,1,19,20,Office,3642.58
11,6,9,21,Bank,23.67
7,14,12,18,Bank,22.0
115,7,8,20,Hospital,152.79
242,9,10,4,Bank,294.69
243,14,9,16,Hospital,177.34
278,8,4,2,Bank,145.14
298,6,18,18,Office,927.69
231,3,3,0,Bank,243.9
19,8,16,22,Hospital,64.93
196,7,15,0,Hospital,444.14
123,3,19,22,Hospital,803.36
32,9,17,19,Office,79.19
206,12,5,8,Bank,88.12
43,2,7,22,Hospital,173.07
277,3,7,4,Office,652.06
235,2,12,6,Office,1423.78
90,13,18,5,Office,134.54
130,1,4,16,Bank,532.5
29,4,14,21,Bank,113.84
149,5,4,16,Bank,132.57
17,13,17,12,Office,39.24
216,6,16,11,Bank,581.75
29,5,12,3,Hospital,87.77
72,1,19,7,Office,1389.44
71,3,16,4,Bank,396.14
237,1,6,4,Office,1428.97
113,11,17,12,Office,178.92
150,5,17,10,Bank,514.91
115,5,18,7,Office,436.32
232,12,10,7,Bank,211.84
115,11,4,0,Bank,45.35
38,13,14,12,Bank,53.07
115,6,4,4,Office,104.51
268,8,8,20,Office,285.91
240,10,7,7,Bank,187.95
87,12,10,16,Office,94.49
46,1,13,22,Bank,601.63
105,4,16,22,Hospital,438.67
10,10,4,12,Office,19.24
184,11,11,8,Office,199.73
286,1,2,1,Hospital,598.41
230,9,14,18,Hospital,380.64
233,11,13,19,Hospital,274.81
293,7,2,16,Bank,84.52
154,7,17,6,Bank,368.69
281,12,16,2,Hospital,395.89
202,5,17,18,Bank,698.48
74,7,12,18,Office,143.84
116,12,7,23,Hospital,80.95
8,2,12,8,Office,67.72
99,14,4,9,Bank,43.3
156,13,16,13,Hospital,203.21
141,4,2,17,Bank,70.24
251,14,8,14,Office,158.43
247,14,2,0,Bank,57.83
35,7,18,5,Office,116.9
44,3,10,14,Bank,160.61
233,2,14,5,Office,1640.89
40,10,12,17,Bank,64.21
227,2,7,0,Hospital,811.33
10,13,2,23,Hospital,16.17
224,1,8,2,Bank,1786.99
79,5,13,16,Office,221.12
8,12,18,15,Bank,17.59
138,6,5,7,Hospital,135.68
122,6,4,16,Office,80.24
98,9,2,7,Bank,32.97
66,4,19,16,Bank,306.48
198,1,16,8,Office,3190.62
207,6,9,11,Bank,324.15
30,5,2,18,Hospital,30.05
177,10,15,3,Hospital,289.44
137,6,5,20,Office,122.32
122,3,6,21,Bank,254.51
279,2,14,10,Bank,1968.56
216,6,16,3,Hospital,574.34
229,13,7,13,Office,135.18
24,1,2,13,Office,62.84
117,7,14,5,Office,247.63
144,7,7,16,Hospital,174.2
51,10,16,1,Hospital,93.73
5,13,17,7,Office,17.19
94,7,17,3,Office,229.87
146,12,11,9,Bank,154.41
42,11,10,6,Bank,46.46
297,10,10,3,Office,308.93
143,1,18,15,Hospital,2593.63
263,4,18,13,Hospital,1207.95
165,13,18,15,Bank,240.89
182,7,13,8,Office,371.54
14,11,14,3,Hospital,41.0
265,9,13,23,Hospital,399.52
142,5,15,5,Hospital,442.07
176,13,11,0,Hospital,166.17
17,2,3,6,Bank,24.99
172,7,5,0,Hospital,143.14
134,10,8,18,Hospital,132.68
88,1,16,7,Office,1418.71
105,7,16,2,Office,249.35
277,6,7,0,Bank,343.78
269,7,4,0,Bank,153.73
42,14,7,6,Bank,16.53
98,13,17,20,Bank,130.08
99,10,3,12,Hospital,38.92
73,3,8,0,Office,212.37
240,3,12,15,Hospital,977.48
141,7,8,21,Hospital,179.61
80,13,5,21,Hospital,58.84
39,2,8,13,Office,166.16
5,1,5,3,Bank,40.43
64,9,13,22,Bank,113.02
271,9,6,22,Office,192.48
233,7,6,11,Office,219.87
274,7,4,11,Bank,164.88
290,3,12,16,Hospital,1186.47
295,10,8,20,Bank,235.0
217,2,18,14,Office,1956.48
169,11,10,9,Bank,160.9
9,7,10,2,Bank,16.63
82,9,11,22,Bank,106.61
66,1,14,19,Office,937.46
136,13,16,19,Office,187.42
93,14,6,11,Bank,47.0
241,4,4,0,Bank,245.23
46,6,9,0,Hospital,86.54
93,7,11,9,Hospital,160.76
299,10,14,17,Bank,422.06
108,7,4,14,Office,65.42
18,10,9,1,Hospital,36.69
292,2,10,16,Bank,1466.02
183,14,13,7,Hospital,196.69
